Cluster ID	Cluster name	Supercluster	Class auto-annotation	Neurotransmitter auto-annotation	Neuropeptide auto-annotation	Subtype auto-annotation	Transferred MTG Label	Top three regions	Top three dissections	Top Enriched Genes	Number of cells	DoubletFinder score	Total UMI	Fraction unspliced	Fraction mitochondrial	H19.30.002	H19.30.001	H18.30.002	H18.30.001	Fraction cells from top donor	Number of donors
0	Bcell_0	Miscellaneous	BCELL				N/A	Midbrain: 21.0%, Basal forebrain: 19.0%, Pons: 14.3%	Human GPi: 11.4%, Human SN: 11.4%, Human SN-RN: 4.8%	IGHM, MS4A1, FCRL1, AC244205.1, IGLL5, IGHA1, BLK, IGLC3, IGLC2, IKZF3	105	0.013358007	2258.866667	0.608112879	0.020988592	58	20	27	0	0.552380952	3
1	Tcell_1	Miscellaneous	TCELL				N/A	Midbrain: 15.0%, Basal forebrain: 14.0%, Pons: 13.2%	Human SpC: 8.2%, Human CbDN: 7.6%, Human SN: 7.4%	CD2, IL7R, PTPRC, SLFN12L, IL32, CCL5, GRAP2, RUNX3, CD69, CD3E	2474	0.022370832	2184.31447	0.582884002	0.02121241	708	400	1364	2	0.551333872	4
2	Nkcell_2	Miscellaneous	NK				N/A	Thalamus: 17.6%, Cerebral cortex: 15.5%, Basal forebrain: 14.8%	Human GPe: 5.7%, Human GPi: 5.5%, Human CbDN: 5.1%	NKG7, GNLY, PRF1, KLRF1, PYHIN1, CCL4, RUNX3, CST7, GZMA, GZMB	671	0.023788012	2263.348733	0.558228387	0.020092552	245	126	300	0	0.44709389	3
3	Mono_3	Miscellaneous	MONO		NAMPT		N/A	Thalamus: 21.9%, Pons: 16.1%, Basal forebrain: 13.9%	Human PnEN: 8.9%, Human MoAN: 6.6%, Human PnRF: 3.8%	FCN1, CLEC12A, S100A4, TNFRSF1B, IFI30, LYZ, CYTIP, FGR, LILRB2, KYNU	503	0.033227744	2407.775348	0.569641907	0.051116823	195	112	196	0	0.389662028	3
4	Mgl_4	Microglia	MGL		NAMPT		Micro-PVM	Spinal cord: 31.8%, Pons: 26.0%, Medulla: 13.2%	Human SpC: 31.8%, Human MN: 11.5%, Human PnEN: 11.4%	SRGN, RGS1, GPR183, CD69, HLA-DRA, OLR1, TNFRSF1B, IFI30, CXCR4, CD74	745	0.013652992	2439.644295	0.672263033	0.005220894	176	135	434	0	0.582550336	3
5	Mgl_5	Microglia	MGL				Micro-PVM	Hippocampus: 40.4%, Medulla: 29.6%, Basal forebrain: 20.1%	Human MoAN: 26.6%, Human DGR-CA4Rpy: 25.2%, Human SEP: 18.8%	HLA-DRA, TTR, CD74, HLA-DRB1, SRGN, RGS1, HLA-DPA1, MS4A6A, HLA-DQA1, HLA-DRB5	777	0.01351135	2327.415701	0.615033643	0.015576116	57	534	186	0	0.687258687	3
6	Mgl_6	Microglia	MGL				Micro-PVM	Hippocampus: 25.1%, Basal forebrain: 15.2%, Thalamus: 11.0%	Human CA1: 7.0%, Human GPi: 6.9%, Human CA4C-DGC: 6.5%	LNCAROD, ITGAX, CD74, LINC00278, FYB1, APBB1IP, CD84, PIK3R5, HLA-DRA, C1QC	2485	0.010397922	3340.555734	0.698040117	0.006842092	590	551	1344	0	0.54084507	3
7	Mgl_7	Microglia	MGL				Micro-PVM	Basal forebrain: 32.0%, Midbrain: 19.4%, Pons: 12.5%	Human GPi: 20.8%, Human SN: 10.3%, Human GPe: 9.1%	CD74, CX3CR1, APBB1IP, HLA-DRA, LNCAROD, C3, ITGAX, FYB1, DOCK8, PTPRC	34829	0.016925496	2714.449453	0.706121733	0.0032935	14434	10829	9556	10	0.414424761	4
8	Mgl_8	Microglia	MGL		IGF		Micro-PVM	Hippocampus: 19.2%, Midbrain: 18.4%, Basal forebrain: 11.1%	Human SN: 8.2%, Human CBV: 4.6%, Human CA4C-DGC: 4.6%	CCDC26, LNCAROD, FYB1, CSF1R, APBB1IP, CX3CR1, SYK, AL392172.1, DOCK8, C3	7750	0.01018139	3517.230839	0.733649691	0.004932159	1219	1813	4718	0	0.608774194	3
9	Mgl_9	Microglia	MGL		IGF		Micro-PVM	Cerebral cortex: 27.2%, Midbrain: 16.6%, Hippocampus: 15.0%	Human SN-RN: 8.1%, Human GPi: 5.5%, Human SN: 5.4%	AIF1, HLA-DRA, CD74, C1QC, C1QB, CX3CR1, TYROBP, CSF1R, C3, APBB1IP	5165	0.010754356	2750.587609	0.637255594	0.004583665	1345	1288	2532	0	0.490222652	3
