accession_id,PCL_id,label,Class auto-annotation,cl_parent_1,cl_parent_2,cl_parent_3,cl_parent_4,definition,definition_ref,brain_region,brain_region_curie,brain_region_evidence,markers,marker_fbeta_score
CS202210140_1,PCL:0051001,Bcell_0 B cell (Hsap),BCELL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000236"";""B cell"")",,,,"A B cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MS4A1 (Hsap). The soma of these cells can be found in the mesencephalon, basal forebrain, pons. The reference data for this cell type is CS202210140_1.",DOI:10.1101/2022.10.12.511898,"pons, basal forebrain, mesencephalon","HBA:9131, HBA:4300, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 14.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 19.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 21.0%.,MS4A1 (Hsap),0.8115942028985508
CS202210140_2,PCL:0051002,Tcell_1 T cell (Hsap),TCELL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000084"";""T cell"")",,,,"A T cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CD2 (Hsap), THEMIS (Hsap). The soma of these cells can be found in the mesencephalon, basal forebrain, pons. The reference data for this cell type is CS202210140_2.",DOI:10.1101/2022.10.12.511898,"basal forebrain, mesencephalon, pons","HBA:4300, HBA:9001, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 14.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 15.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 13.2%.,"THEMIS (Hsap), CD2 (Hsap)",0.7773972602739725
CS202210140_3,PCL:0051003,Nkcell_2 natural killer cell (Hsap),NK,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000623"";""natural killer cell"")",,,,"A natural killer cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NKG7 (Hsap), GNLY (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_3.",DOI:10.1101/2022.10.12.511898,"thalamus, basal forebrain","HBA:4392, HBA:4300",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 17.6%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 14.8%.,"NKG7 (Hsap), GNLY (Hsap)",0.8333333333333333
CS202210140_4,PCL:0051004,Mono_3 monocyte (Hsap),MONO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000576"";""monocyte"")",,,,"A monocyte of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FCN1 (Hsap). The soma of these cells can be found in the thalamus, pons, basal forebrain. The reference data for this cell type is CS202210140_4.",DOI:10.1101/2022.10.12.511898,"pons, basal forebrain, thalamus","HBA:9131, HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 16.1%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 13.9%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 21.9%.,FCN1 (Hsap),0.7611731843575418
CS202210140_5,PCL:0051005,Mgl_4 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SRGN (Hsap), HIF1A-AS3 (Hsap). The soma of these cells can be found in the spinal cord, pons, myelencephalon. The reference data for this cell type is CS202210140_5.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 26.0%.,"SRGN (Hsap), HIF1A-AS3 (Hsap)",0.7273391812865497
CS202210140_6,PCL:0051006,Mgl_5 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of APBB1IP (Hsap), TTR (Hsap). The soma of these cells can be found in the hippocampal formation, myelencephalon, basal forebrain. The reference data for this cell type is CS202210140_6.",DOI:10.1101/2022.10.12.511898,"basal forebrain, hippocampal formation","HBA:4300, HBA:4249",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 20.1%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 40.4%.,"TTR (Hsap), APBB1IP (Hsap)",0.6982942430703625
CS202210140_7,PCL:0051007,Mgl_6 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SCIN (Hsap), ITGAX (Hsap), LINC00278 (Hsap). The soma of these cells can be found in the hippocampal formation, basal forebrain, thalamus. The reference data for this cell type is CS202210140_7.",DOI:10.1101/2022.10.12.511898,"basal forebrain, hippocampal formation, thalamus","HBA:4300, HBA:4249, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 15.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 25.1%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 11.0%.,"LINC00278 (Hsap), ITGAX (Hsap), SCIN (Hsap)",0.34090909090909094
CS202210140_8,PCL:0051008,Mgl_7 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CX3CR1 (Hsap), OLR1 (Hsap), LINC02712 (Hsap). The soma of these cells can be found in the basal forebrain, mesencephalon, pons. The reference data for this cell type is CS202210140_8.",DOI:10.1101/2022.10.12.511898,"basal forebrain, pons, mesencephalon","HBA:4300, HBA:9131, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 32.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 12.5%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 19.4%.,"LINC02712 (Hsap), CX3CR1 (Hsap), OLR1 (Hsap)",0.23087071240105542
CS202210140_9,PCL:0051009,Mgl_8 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CX3CR1 (Hsap), CCDC26 (Hsap), LNCAROD (Hsap). The soma of these cells can be found in the hippocampal formation, mesencephalon, basal forebrain. The reference data for this cell type is CS202210140_9.",DOI:10.1101/2022.10.12.511898,"hippocampal formation, mesencephalon, basal forebrain","HBA:4249, HBA:9001, HBA:4300",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 19.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 18.4%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 11.1%.,"CCDC26 (Hsap), CX3CR1 (Hsap), LNCAROD (Hsap)",0.5147058823529413
CS202210140_10,PCL:0051010,Mgl_9 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CX3CR1 (Hsap), AIF1 (Hsap), LINC02712 (Hsap). The soma of these cells can be found in the cerebral cortex, mesencephalon, hippocampal formation. The reference data for this cell type is CS202210140_10.",DOI:10.1101/2022.10.12.511898,"hippocampal formation, mesencephalon","HBA:4249, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 15.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 16.6%.,"AIF1 (Hsap), LINC02712 (Hsap), CX3CR1 (Hsap)",0.34163987138263663
CS202210140_11,PCL:0051011,Mgl_10 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of DOCK8 (Hsap), P2RY12 (Hsap), LNCAROD (Hsap). The soma of these cells can be found in the basal forebrain, mesencephalon, cerebral cortex. The reference data for this cell type is CS202210140_11.",DOI:10.1101/2022.10.12.511898,"basal forebrain, mesencephalon","HBA:4300, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 27.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 22.1%.,"P2RY12 (Hsap), LNCAROD (Hsap), DOCK8 (Hsap)",0.1889736477115118
CS202210140_12,PCL:0051012,Mgl_11 microglial cell (Hsap),MGL,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of P2RY12 (Hsap), LINC02642 (Hsap), LINC02712 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation, thalamus. The reference data for this cell type is CS202210140_12.",DOI:10.1101/2022.10.12.511898,"thalamus, hippocampal formation","HBA:4392, HBA:4249",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 11.1%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 24.2%.,"P2RY12 (Hsap), LINC02712 (Hsap), LINC02642 (Hsap)",0.2610619469026549
CS202210140_13,PCL:0051013,Mgl_12 microglial cell (Hsap),MAC,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000129"";""microglial cell"")",,,,"A microglial cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of F13A1 (Hsap), MRC1 (Hsap). The soma of these cells can be found in the basal forebrain, cerebral cortex, cerebellum. The reference data for this cell type is CS202210140_13.",DOI:10.1101/2022.10.12.511898,"cerebellum, basal forebrain","HBA:4696, HBA:4300",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Cerebellum: 12.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 29.4%.,"MRC1 (Hsap), F13A1 (Hsap)",0.7098765432098765
